window_days,start_utc,end_utc,nobs,theta,kappa,sigma,lambda,half_life_minutes,effective_half_life_minutes,conditional_mixed_loglik
90,2024-11-11 00:00:00+00:00,2025-02-09 00:00:00+00:00,25850,-7.50008562666563e-05,0.859116463340207,0.0010393747396153044,1.7104370272878582,1161.8121437524642,388.44567495746196,215701.49384925392
90,2024-12-11 00:00:00+00:00,2025-03-11 00:00:00+00:00,25848,-0.0003660957470822556,0.9564471470000496,0.0008246652111336527,2.2758651632194513,1043.582955040452,308.7981123762573,221289.29163743902
90,2025-01-10 00:00:00+00:00,2025-04-10 00:00:00+00:00,25846,-0.00020933712443757006,1.543441153707349,0.0006885159565451459,2.6329654366637594,646.6925788578374,238.99299994103995,225993.60154099774
90,2025-02-09 00:00:00+00:00,2025-05-10 00:00:00+00:00,25907,-0.00013371237016591094,1.248886095698687,0.0005275483740131253,3.2368610964614564,799.2177536798648,222.51185750074865,233805.70510933315
90,2025-03-11 00:00:00+00:00,2025-06-09 00:00:00+00:00,25917,1.6266012567628287e-05,1.5243444191752695,0.0005140083408588994,3.5573345464809023,654.7942364274538,196.417748297769,234125.61621361505
90,2025-04-10 00:00:00+00:00,2025-07-09 00:00:00+00:00,25917,0.00015121871977453487,3.1260390996625214,0.0005268248639288014,4.8148063985345955,319.29605106797186,125.69592749700725,233531.80886682746
90,2025-05-10 00:00:00+00:00,2025-08-08 00:00:00+00:00,25915,0.00017581071412454754,4.595919686113596,0.0006014810259082953,4.908292133369035,217.17784647589482,105.01995946263067,229865.91053938822
90,2025-06-09 00:00:00+00:00,2025-09-07 00:00:00+00:00,25880,0.00011820012856743491,3.6397693951037335,0.0006387745635547626,4.15538181794081,274.22944468652923,128.04523128891066,227838.13151859777
90,2025-07-09 00:00:00+00:00,2025-10-07 00:00:00+00:00,25882,0.00013724474625397045,3.551893038841743,0.0006588111412821979,3.6264309828424324,281.01407590015936,139.04804756530618,226947.51353045966
90,2025-08-08 00:00:00+00:00,2025-11-06 00:00:00+00:00,25799,0.0001456188278989985,3.8574982447423216,0.0008304602315737951,0.9098867748886654,258.75110672227817,209.3667568061411,223592.8122193293
