period,model,horizon_minutes,n_pairs,finite_score_coverage,mean_log_score,comparison_group,evaluation_error,density_evaluation,marginal,copula
training_2021_2023,Normal_GaussianMixed,5,40000,1.0,7.978262277426327,log_price_density,,,Normal,GaussianMixed
training_2021_2023,Normal_GaussianMixed,60,40000,1.0,6.994242032959199,log_price_density,,,Normal,GaussianMixed
training_2021_2023,Normal_GaussianMixed,360,40000,1.0,6.257771810925432,log_price_density,,,Normal,GaussianMixed
training_2021_2023,Normal_GaussianMixed,1440,40000,1.0,5.805307378278455,log_price_density,,,Normal,GaussianMixed
validation_2024,Normal_GaussianMixed,5,40000,1.0,8.34724165058001,log_price_density,,,Normal,GaussianMixed
validation_2024,Normal_GaussianMixed,60,40000,1.0,7.184052265999373,log_price_density,,,Normal,GaussianMixed
validation_2024,Normal_GaussianMixed,360,40000,1.0,6.418647572669293,log_price_density,,,Normal,GaussianMixed
validation_2024,Normal_GaussianMixed,1440,40000,1.0,6.000710223158494,log_price_density,,,Normal,GaussianMixed
test_2025,Normal_GaussianMixed,5,40000,1.0,8.4345869668493,log_price_density,,,Normal,GaussianMixed
test_2025,Normal_GaussianMixed,60,40000,1.0,7.269937269557986,log_price_density,,,Normal,GaussianMixed
test_2025,Normal_GaussianMixed,360,40000,1.0,6.492072214872863,log_price_density,,,Normal,GaussianMixed
test_2025,Normal_GaussianMixed,1440,40000,1.0,6.113182791387431,log_price_density,,,Normal,GaussianMixed
training_2021_2023,Normal_StudentT,5,40000,1.0,8.015861159167567,log_price_density,,,Normal,StudentT
training_2021_2023,Normal_StudentT,60,40000,1.0,7.364450080980819,log_price_density,,,Normal,StudentT
training_2021_2023,Normal_StudentT,360,40000,1.0,6.6841732608301605,log_price_density,,,Normal,StudentT
training_2021_2023,Normal_StudentT,1440,40000,1.0,6.153879439786178,log_price_density,,,Normal,StudentT
validation_2024,Normal_StudentT,5,40000,1.0,8.69730624870416,log_price_density,,,Normal,StudentT
validation_2024,Normal_StudentT,60,40000,1.0,7.535480106325614,log_price_density,,,Normal,StudentT
validation_2024,Normal_StudentT,360,40000,1.0,6.790518506402582,log_price_density,,,Normal,StudentT
validation_2024,Normal_StudentT,1440,40000,1.0,6.3070120775499285,log_price_density,,,Normal,StudentT
test_2025,Normal_StudentT,5,40000,1.0,8.859493688679713,log_price_density,,,Normal,StudentT
test_2025,Normal_StudentT,60,40000,1.0,7.779332857339552,log_price_density,,,Normal,StudentT
test_2025,Normal_StudentT,360,40000,1.0,6.991860953818864,log_price_density,,,Normal,StudentT
test_2025,Normal_StudentT,1440,40000,1.0,6.479378655491282,log_price_density,,,Normal,StudentT
training_2021_2023,Normal_StudentTMixed,5,40000,1.0,8.015857609123906,log_price_density,,,Normal,StudentTMixed
training_2021_2023,Normal_StudentTMixed,60,40000,1.0,7.3644669568122785,log_price_density,,,Normal,StudentTMixed
training_2021_2023,Normal_StudentTMixed,360,40000,1.0,6.684231325072152,log_price_density,,,Normal,StudentTMixed
training_2021_2023,Normal_StudentTMixed,1440,40000,1.0,6.154141667924904,log_price_density,,,Normal,StudentTMixed
validation_2024,Normal_StudentTMixed,5,40000,1.0,8.697311972724247,log_price_density,,,Normal,StudentTMixed
