kappa,lambda,mean_loglik
0.8263004666051704,1.101346354974709,8.819550901409638
0.8263004666051704,1.2584322796530119,8.819741249149148
0.8263004666051704,1.4379234972898627,8.8198875243853
0.8263004666051704,1.6430156930084603,8.819981069163825
0.8263004666051704,1.8773603550953688,8.820011887238836
0.8263004666051704,2.1451297865757275,8.819968446017393
0.8263004666051704,2.451091389442208,8.81983744976073
0.8263004666051704,2.800692544103856,8.819603580093235
0.8263004666051704,3.200157595259617,8.819249199332898
0.8263004666051704,3.656598670945743,8.818754011540136
0.8263004666051704,4.178142307793895,8.818094675480182
0.8263004666051704,4.774074136952592,8.817244362900398
0.8263004666051704,5.455004206679104,8.816172254633033
0.8263004666051704,6.233055885026829,8.814842966040276
0.8263004666051704,7.122081705876312,8.813215892217073
0.8263004666051704,8.137910001260915,8.811244462154
0.8263004666051704,9.298626711061289,8.808875289735788
0.8263004666051704,10.62489738744535,8.806047208014055
0.8263004666051704,12.140335127062933,8.80269017165409
0.8263004666051704,13.871920981708046,8.798724010836008
0.8951206094871652,0.2540730953940195,8.815770612794445
0.8951206094871652,0.29031174724552056,8.816120407437694
0.8951206094871652,0.33171914742898384,8.816469683294667
0.8951206094871652,0.37903251871496474,8.816816845729551
0.8951206094871652,0.4330942345562576,8.817160007866434
0.8951206094871652,0.49486681681506367,8.817496947323665
0.8951206094871652,0.5654500726281616,8.81782505674725
0.8951206094871652,0.6461006755170664,8.818141287149361
0.8951206094871652,0.7382545393678304,8.818442082893709
0.8951206094871652,0.8435523836297413,8.818723306994437
0.8951206094871652,0.9638689448990682,8.818980155209443
0.8951206094871652,1.101346354974709,8.819207057212166
0.8951206094871652,1.2584322796530119,8.819397562913355
0.8951206094871652,1.4379234972898627,8.819544211771172
0.8951206094871652,1.6430156930084603,8.81963838266625
0.8951206094871652,1.8773603550953688,8.819670121619822
0.8951206094871652,2.1451297865757275,8.819627944288221
0.8951206094871652,2.451091389442208,8.81949860976709
0.8951206094871652,2.800692544103856,8.819266861774318
0.8951206094871652,3.200157595259617,8.818915132744023
0.8951206094871652,3.656598670945743,8.818423205747848
0.8951206094871652,4.178142307793895,8.817767828458285
0.8951206094871652,4.774074136952592,8.816922272576408
0.8951206094871652,5.455004206679104,8.815855831258462
0.8951206094871652,6.233055885026829,8.814533246087171
0.8951206094871652,7.122081705876312,8.812914054040123
0.8951206094871652,8.137910001260915,8.810951843705158
0.8951206094871652,9.298626711061289,8.808593408680384
