period,model_mixed,marginal,copula_mixed,horizon_minutes,n_pairs_mixed,finite_score_coverage_mixed,mean_log_score_mixed,comparison_group_mixed,evaluation_error_mixed,copula_family,model_base,copula_base,n_pairs_base,finite_score_coverage_base,mean_log_score_base,comparison_group_base,evaluation_error_base,mixed_minus_base_log_score
training_2021_2023,StudentT_GaussianMixed,StudentT,GaussianMixed,5,40000,1.0,7.866451036843398,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,7.853059623699293,log_price_density,,0.01339141314410508
training_2021_2023,StudentT_GaussianMixed,StudentT,GaussianMixed,60,40000,1.0,7.468856405129004,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,7.4010956499276555,log_price_density,,0.06776075520134839
training_2021_2023,StudentT_GaussianMixed,StudentT,GaussianMixed,360,40000,1.0,6.768933502172614,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,6.707976574873322,log_price_density,,0.060956927299292474
training_2021_2023,StudentT_GaussianMixed,StudentT,GaussianMixed,1440,40000,1.0,6.293720264570324,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,6.252389081459089,log_price_density,,0.04133118311123507
validation_2024,StudentT_GaussianMixed,StudentT,GaussianMixed,5,40000,1.0,8.511625495597377,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,8.43327821471806,log_price_density,,0.07834728087931708
validation_2024,StudentT_GaussianMixed,StudentT,GaussianMixed,60,40000,1.0,7.40676181395395,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,7.347686325181947,log_price_density,,0.059075488772003304
validation_2024,StudentT_GaussianMixed,StudentT,GaussianMixed,360,40000,1.0,6.639096880318768,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,6.582307750346254,log_price_density,,0.05678912997251473
validation_2024,StudentT_GaussianMixed,StudentT,GaussianMixed,1440,40000,1.0,6.130276284142563,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,6.085540948156933,log_price_density,,0.04473533598562973
test_2025,StudentT_GaussianMixed,StudentT,GaussianMixed,5,40000,1.0,8.751312039901043,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,8.702820145393922,log_price_density,,0.0484918945071211
test_2025,StudentT_GaussianMixed,StudentT,GaussianMixed,60,40000,1.0,7.72245174465014,log_price_density,,Gaussian,StudentT_Gaussian,Gaussian,40000,1.0,7.64830041462924,log_price_density,,0.07415133002090002
