theta,kappa,sigma
7.235981513727619e-05,1.8473143979329567,0.001241564925474447
7.396422387327304e-05,2.0557236264435144,0.0011749808757765042
5.228583159511553e-05,1.6345196837220812,0.0011886666893227743
7.513670762766074e-05,1.8616149546773897,0.0015242029745595324
7.460336053927137e-05,1.6268586557842588,0.0016314912676416624
6.981390841066404e-05,1.857586323495197,0.0012853601707119614
5.937940227876777e-05,1.7768571688276793,0.0012720566083364172
3.5543717223801734e-05,1.9430145787032318,0.0013977778707033978
7.169290907477306e-05,1.3198034618729737,0.0012188811575993487
4.055751922939471e-05,1.627625728787076,0.0013023794369101456
8.172007145630993e-05,1.4624937106802531,0.0012199113100066065
4.859095122605411e-05,1.597096580671972,0.0011477281958939749
4.2780415284682924e-05,1.7455334855707625,0.0014702208169042805
8.229951989348503e-05,1.5864794836480116,0.0014808663774813725
9.337179085499834e-05,1.6706380359280901,0.0013434804871085787
7.838916948815138e-05,1.6374420188095284,0.0011185438533254518
7.407376363408852e-05,2.0685662505292965,0.001366271232978871
3.803350636555648e-05,1.6240522412560712,0.0011772246660086796
8.653832466603511e-05,1.3920421167241528,0.0012030975719384634
7.16184082315092e-05,1.745970416134893,0.0014386483267885216
7.539562998640541e-05,1.3937726394551022,0.001289034602341722
9.771987216166504e-05,1.414316266223773,0.0013798684127383433
6.12174488216549e-05,1.829715519407345,0.0012491540347925603
5.118960957257222e-05,1.8096708293547155,0.0014048414058541944
5.657186768760704e-05,1.8290348725937358,0.0011782387356399692
8.020486025179988e-05,2.031514057741382,0.00155209228001756
6.178602868351953e-05,1.8004283429299563,0.0015277176015929563
5.2952564204331886e-05,1.5896590692877022,0.0011433318571218432
6.862962938746888e-05,1.3995646937418602,0.0012481619584073526
5.5241333347124455e-05,1.7405304639445514,0.001158413529591392
4.866272934395704e-05,1.5716543531102714,0.0011706782286815365
8.0860353519284e-05,1.7605946034514486,0.0013918248554322548
3.8189206695954165e-05,1.8226717778885821,0.0011267616953317947
5.985454949716912e-05,1.6177626909342766,0.0015788685936701382
7.680783314339557e-05,1.9311432193882252,0.0011800207275779976
4.629567468918618e-05,2.0611932719729498,0.001603510207211139
6.89822178028976e-05,1.922838469342579,0.0015425885195891242
8.151921543437043e-05,1.4656531059221987,0.0012485697562942969
4.81928104111551e-05,1.8331778537764631,0.0013639878674600182
7.83895289430148e-05,1.9867660982800022,0.0014424328031036235
6.491363948122613e-05,2.007365664654667,0.0013229154221631734
7.100092231151925e-05,1.7996867288658847,0.0011896696873666993
6.898617279612285e-05,1.8313196095356976,0.001361559228605671
7.279968135513387e-05,1.8272638150794374,0.0012632846093624114
5.8392109240780734e-05,1.8876438865874046,0.0017633820425595034
4.5908009900244424e-05,1.8031225772749295,0.001143266046445934
8.410404473738263e-05,1.6679808231007052,0.0014320345591314256
6.888731044843349e-05,1.7282250852374867,0.0013480737557606105
8.133957876754768e-05,1.3445935871177925,0.0011727540845731218
4.4579906845560404e-05,1.790214288268915,0.001489147184318839
8.598255657186388e-05,1.5919552753600068,0.0013970800813820818
8.950357076360227e-05,1.2658679633402095,0.001187395247258939
7.987248519068054e-05,1.8088576474973994,0.0014247799415642438
8.46792004459289e-05,1.5735230767469126,0.0014208631507866799
4.978470220967892e-05,1.957317817900255,0.001344348743236904
4.673402933234455e-05,1.9831306978902086,0.0014389026581834955
6.381863102531963e-05,2.0165512780446555,0.0016238927430138844
5.199562297608749e-05,1.8047604530460912,0.0012932103523161634
7.47741930363684e-05,1.8843421057335938,0.0015500417598894405
