sample,x_grid,conditional_mean_128,drift_per_day_128,mean_abs_difference_64_128,mean_abs_difference_256_128,sign_match_anchor
baseline,0.00043990322838529565,0.00044560600395776367,0.001642399364870789,2.2696009889533204e-07,2.115998179338897e-08,False
baseline,0.00047988483685076997,0.0004649299028074165,-0.004307021004485802,1.7057907145817675e-08,2.7219401679432972e-09,True
baseline,0.0004998750416509929,0.0005291492523556771,0.00843097268294905,1.3298566996200988e-07,4.408016659682981e-07,False
baseline,0.0004998750416509929,0.0005291492523556771,0.00843097268294905,1.3298566996200988e-07,4.408016659682981e-07,False
baseline,0.0004998750416509929,0.0005291492523556771,0.00843097268294905,1.3298566996200988e-07,4.408016659682981e-07,False
baseline,0.0005498488054355172,0.0005508762009265753,0.00029588990142473404,1.333335522731515e-06,7.080589426140078e-07,False
baseline,0.0005998200719675495,0.0006288722387535184,0.008367024034359054,5.484528125648076e-06,1.3794670916133546e-06,False
baseline,0.0005998200719675495,0.0006288722387535184,0.008367024034359054,5.484528125648076e-06,1.3794670916133546e-06,False
baseline,0.0006298016333095459,0.0006416734724025706,0.0034190896587911017,5.597357218073786e-06,1.4395260485388197e-06,False
baseline,0.0006997551142732649,0.0007316305304343489,0.009180119854392193,8.467100050825005e-06,8.383948644889467e-08,False
baseline,0.0006997551142732649,0.0007316305304343489,0.009180119854392193,8.467100050825005e-06,8.383948644889467e-08,False
baseline,0.0007996801705642441,0.0008331633696883993,0.009643161347756685,2.3476620297708303e-06,2.228030152847619e-06,False
baseline,0.0008396473974435676,0.0008478772997522316,0.002370211864895229,5.504840785226523e-06,2.807006226903828e-06,False
baseline,0.0008995952428359939,0.0009375253947021883,0.010923883737463974,1.877365978074472e-05,4.379596877832634e-06,False
baseline,0.0009995003330834232,0.0010335450459874823,0.009804877316369032,1.4502606755336734e-05,3.3758388578387834e-06,False
baseline,0.001199280575482187,0.0012373631429714713,0.010967779436913891,2.1588026778014604e-05,1.4558961627729287e-06,False
baseline,0.0013990209137074087,0.0014408345192874236,0.012042318407044283,1.7850475551712836e-05,4.864671160757653e-06,False
baseline,0.0018981972830802655,0.0019132049894071497,0.004322219422142642,5.0551763336935786e-05,2.5864735176876633e-05,False
