period,model,marginal,copula,horizon_minutes,n_pairs,finite_score_coverage,mean_log_score,comparison_group,evaluation_error
test_2025,StudentT_StudentT,StudentT,StudentT,5,40000,1.0,9.020487520538687,log_price_density,
test_2025,StudentT_StudentT,StudentT,StudentT,60,40000,1.0,8.060882166932645,log_price_density,
test_2025,StudentT_StudentT,StudentT,StudentT,360,40000,1.0,7.359720626102023,log_price_density,
test_2025,StudentT_StudentT,StudentT,StudentT,1440,40000,1.0,6.85628615302931,log_price_density,
training_2021_2023,StudentT_StudentTMixed,StudentT,StudentTMixed,5,40000,1.0,8.02080764348564,log_price_density,
training_2021_2023,StudentT_StudentTMixed,StudentT,StudentTMixed,60,40000,1.0,7.662652857481088,log_price_density,
training_2021_2023,StudentT_StudentTMixed,StudentT,StudentTMixed,360,40000,1.0,7.136661079024318,log_price_density,
training_2021_2023,StudentT_StudentTMixed,StudentT,StudentTMixed,1440,40000,1.0,6.683414734296773,log_price_density,
validation_2024,StudentT_StudentTMixed,StudentT,StudentTMixed,5,40000,1.0,8.781201388549837,log_price_density,
validation_2024,StudentT_StudentTMixed,StudentT,StudentTMixed,60,40000,1.0,7.629834605580008,log_price_density,
validation_2024,StudentT_StudentTMixed,StudentT,StudentTMixed,360,40000,1.0,6.928188545992521,log_price_density,
validation_2024,StudentT_StudentTMixed,StudentT,StudentTMixed,1440,40000,1.0,6.450748281010942,log_price_density,
test_2025,StudentT_StudentTMixed,StudentT,StudentTMixed,5,40000,1.0,9.020488315578651,log_price_density,
test_2025,StudentT_StudentTMixed,StudentT,StudentTMixed,60,40000,1.0,8.060886289229723,log_price_density,
test_2025,StudentT_StudentTMixed,StudentT,StudentTMixed,360,40000,1.0,7.359727531759396,log_price_density,
test_2025,StudentT_StudentTMixed,StudentT,StudentTMixed,1440,40000,1.0,6.856292209667929,log_price_density,
training_2021_2023,StudentT_Frank,StudentT,Frank,5,40000,1.0,7.744986345862855,log_price_density,
training_2021_2023,StudentT_Frank,StudentT,Frank,60,40000,1.0,6.685426617715697,log_price_density,
training_2021_2023,StudentT_Frank,StudentT,Frank,360,40000,1.0,6.091247939496729,log_price_density,
training_2021_2023,StudentT_Frank,StudentT,Frank,1440,40000,1.0,6.083410562986106,log_price_density,
validation_2024,StudentT_Frank,StudentT,Frank,5,40000,1.0,8.25047060990525,log_price_density,
validation_2024,StudentT_Frank,StudentT,Frank,60,40000,1.0,6.580592393192249,log_price_density,
validation_2024,StudentT_Frank,StudentT,Frank,360,40000,1.0,5.9038715550721275,log_price_density,
validation_2024,StudentT_Frank,StudentT,Frank,1440,40000,1.0,5.890752540389428,log_price_density,
test_2025,StudentT_Frank,StudentT,Frank,5,40000,1.0,8.640974483912956,log_price_density,
test_2025,StudentT_Frank,StudentT,Frank,60,40000,1.0,6.899267291977719,log_price_density,
test_2025,StudentT_Frank,StudentT,Frank,360,40000,1.0,6.343617325945416,log_price_density,
test_2025,StudentT_Frank,StudentT,Frank,1440,40000,1.0,6.344498955484677,log_price_density,
training_2021_2023,StudentT_FrankMixed,StudentT,FrankMixed,5,40000,1.0,8.055237042628416,log_price_density,
training_2021_2023,StudentT_FrankMixed,StudentT,FrankMixed,60,40000,1.0,7.890664817298164,log_price_density,
training_2021_2023,StudentT_FrankMixed,StudentT,FrankMixed,360,40000,1.0,7.013781504368349,log_price_density,
training_2021_2023,StudentT_FrankMixed,StudentT,FrankMixed,1440,40000,1.0,6.08356946984547,log_price_density,
validation_2024,StudentT_FrankMixed,StudentT,FrankMixed,5,40000,1.0,5.807193773342394,log_price_density,
validation_2024,StudentT_FrankMixed,StudentT,FrankMixed,60,40000,1.0,5.723969802413053,log_price_density,
validation_2024,StudentT_FrankMixed,StudentT,FrankMixed,360,40000,1.0,5.981973277134216,log_price_density,
validation_2024,StudentT_FrankMixed,StudentT,FrankMixed,1440,40000,1.0,5.890765228003664,log_price_density,
test_2025,StudentT_FrankMixed,StudentT,FrankMixed,5,40000,1.0,6.387217886536233,log_price_density,
test_2025,StudentT_FrankMixed,StudentT,FrankMixed,60,40000,1.0,6.2794083265326295,log_price_density,
test_2025,StudentT_FrankMixed,StudentT,FrankMixed,360,40000,1.0,6.479039722841731,log_price_density,
test_2025,StudentT_FrankMixed,StudentT,FrankMixed,1440,40000,1.0,6.344521001364882,log_price_density,
training_2021_2023,StudentT_Clayton,StudentT,Clayton,5,40000,1.0,7.827284658443779,log_price_density,
training_2021_2023,StudentT_Clayton,StudentT,Clayton,60,40000,1.0,6.583585954396345,log_price_density,
training_2021_2023,StudentT_Clayton,StudentT,Clayton,360,40000,1.0,6.084478214546804,log_price_density,
training_2021_2023,StudentT_Clayton,StudentT,Clayton,1440,40000,1.0,6.083409761241289,log_price_density,
validation_2024,StudentT_Clayton,StudentT,Clayton,5,40000,1.0,8.50129922030878,log_price_density,
validation_2024,StudentT_Clayton,StudentT,Clayton,60,40000,1.0,6.562552429859623,log_price_density,
validation_2024,StudentT_Clayton,StudentT,Clayton,360,40000,1.0,5.895576203639044,log_price_density,
