asset,frequency_minutes,price_proxy,period,start_utc,end_utc,observations,theoretical_bars,bar_coverage,exact_pairs,exact_pair_share_of_adjacent,tie_count,tie_rate,min_nonzero_price_change,p01_nonzero_price_change,modal_nonzero_price_change,zero_volume_rate,one_trade_or_less_rate,continuous_segments,median_segment_bars,p90_segment_bars,max_segment_bars
DAI,1,ohlc_average,2021,2021-01-01 00:00:00+00:00,2021-12-31 23:53:00+00:00,256950,525594,0.4888754437836048,168587,0.6561107457121841,13832,0.08204665840189339,1.1102230246251565e-16,2.4999999999053557e-06,5e-06,0.0,0.2326328079392878,88363,2.0,6.0,294
DAI,1,typical_price,2021,2021-01-01 00:00:00+00:00,2021-12-31 23:53:00+00:00,256950,525594,0.4888754437836048,168587,0.6561107457121841,14088,0.0835651622011187,1.1102230246251565e-16,3.333333333133126e-06,3.3333e-06,0.0,0.2326328079392878,88363,2.0,6.0,294
DAI,1,close,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:50:00+00:00,283806,525591,0.5399749995719105,203531,0.7171508606261341,57089,0.280492897887791,9.999999999843467e-06,9.999999999843467e-06,1e-05,0.0,0.19843836987237762,80275,2.0,7.0,300
DAI,1,ohlc_average,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:50:00+00:00,283806,525591,0.5399749995719105,203531,0.7171508606261341,22041,0.10829308557418772,1.1102230246251565e-16,1.1102230246251565e-16,5e-06,0.0,0.19843836987237762,80275,2.0,7.0,300
DAI,1,typical_price,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:50:00+00:00,283806,525591,0.5399749995719105,203531,0.7171508606261341,23841,0.11713694719723286,1.1102230246251565e-16,2.220446049250313e-16,3.3333e-06,0.0,0.19843836987237762,80275,2.0,7.0,300
DAI,1,close,2023,2023-01-01 00:03:00+00:00,2023-12-31 23:50:00+00:00,149682,525588,0.2847896070686545,93158,0.6223769215865741,26920,0.2889714248910453,9.999999999843467e-06,9.99999999995449e-06,1e-05,0.0,0.27241752515332507,56524,1.0,5.0,291
DAI,1,ohlc_average,2023,2023-01-01 00:03:00+00:00,2023-12-31 23:50:00+00:00,149682,525588,0.2847896070686545,93158,0.6223769215865741,11857,0.1272783872560596,1.1102230246251565e-16,1.1102230246251565e-16,5e-06,0.0,0.27241752515332507,56524,1.0,5.0,291
DAI,1,typical_price,2023,2023-01-01 00:03:00+00:00,2023-12-31 23:50:00+00:00,149682,525588,0.2847896070686545,93158,0.6223769215865741,12838,0.13780888383176967,1.1102230246251565e-16,3.333333333133126e-06,3.3333e-06,0.0,0.27241752515332507,56524,1.0,5.0,291
DAI,1,close,2024,2024-01-01 00:35:00+00:00,2024-12-31 23:58:00+00:00,70365,527004,0.13351891067240476,23932,0.3401171053379569,7775,0.3248788233327762,9.999999999843467e-06,9.99999999995449e-06,1e-05,0.0,0.41722447239394583,46433,1.0,3.0,63
DAI,1,ohlc_average,2024,2024-01-01 00:35:00+00:00,2024-12-31 23:58:00+00:00,70365,527004,0.13351891067240476,23932,0.3401171053379569,4908,0.20508106301186696,1.1102230246251565e-16,2.4999999999053557e-06,5e-06,0.0,0.41722447239394583,46433,1.0,3.0,63
