refit_utc,fit_start_utc,fit_end_exclusive_utc,forecast_end_exclusive_utc,model,theta,kappa,sigma,lambda,slow_mean,rw_step_sd,fit_nobs,no_lookahead
2024-11-26 00:00:00+00:00,2023-11-27 00:00:00+00:00,2024-11-26 00:00:00+00:00,2024-12-26 00:00:00+00:00,NestedOU_proxy,5.5745891552400395e-06,1.53441007262391,0.0008605286127874128,0.0,0.0004054452828118659,,104865,True
2024-11-26 00:00:00+00:00,2023-11-27 00:00:00+00:00,2024-11-26 00:00:00+00:00,2024-12-26 00:00:00+00:00,OUF,-2.125652252959786e-05,1.1608256020988643,0.0008600331678023032,0.0,,,104865,True
2024-11-26 00:00:00+00:00,2023-11-27 00:00:00+00:00,2024-11-26 00:00:00+00:00,2024-12-26 00:00:00+00:00,MOUF,-2.125652252959786e-05,1.1608256020988643,0.0008600331678023032,2.3008344131294574,,,104865,True
2024-12-26 00:00:00+00:00,2023-12-27 00:00:00+00:00,2024-12-26 00:00:00+00:00,2025-01-25 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,5.234560113153984e-05,104865,True
2024-12-26 00:00:00+00:00,2023-12-27 00:00:00+00:00,2024-12-26 00:00:00+00:00,2025-01-25 00:00:00+00:00,NestedOU_proxy,-1.0778987513072929e-05,1.5060280387894747,0.0008893880281730561,0.0,-0.00013218294637345993,,104865,True
2024-12-26 00:00:00+00:00,2023-12-27 00:00:00+00:00,2024-12-26 00:00:00+00:00,2025-01-25 00:00:00+00:00,OUF,-2.0084544454469566e-05,1.1395301393090849,0.0008890110681752297,0.0,,,104865,True
2024-12-26 00:00:00+00:00,2023-12-27 00:00:00+00:00,2024-12-26 00:00:00+00:00,2025-01-25 00:00:00+00:00,MOUF,-2.0084544454469566e-05,1.1395301393090849,0.0008890110681752297,2.22597634246204,,,104865,True
2025-01-25 00:00:00+00:00,2024-01-26 00:00:00+00:00,2025-01-25 00:00:00+00:00,2025-02-24 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,5.1827520444490107e-05,104965,True
2025-01-25 00:00:00+00:00,2024-01-26 00:00:00+00:00,2025-01-25 00:00:00+00:00,2025-02-24 00:00:00+00:00,NestedOU_proxy,-2.4568271542812026e-06,1.368026242282794,0.000880478846015707,0.0,-0.000469697262421238,,104965,True
2025-01-25 00:00:00+00:00,2024-01-26 00:00:00+00:00,2025-01-25 00:00:00+00:00,2025-02-24 00:00:00+00:00,OUF,-7.322136938356294e-05,1.0009074114266439,0.0008801675537298195,0.0,,,104965,True
2025-01-25 00:00:00+00:00,2024-01-26 00:00:00+00:00,2025-01-25 00:00:00+00:00,2025-02-24 00:00:00+00:00,MOUF,-7.322136938356294e-05,1.0009074114266439,0.0008801675537298195,2.122331120894426,,,104965,True
2025-02-24 00:00:00+00:00,2024-02-25 00:00:00+00:00,2025-02-24 00:00:00+00:00,2025-03-26 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,5.1916696989424884e-05,104919,True
2025-02-24 00:00:00+00:00,2024-02-25 00:00:00+00:00,2025-02-24 00:00:00+00:00,2025-03-26 00:00:00+00:00,NestedOU_proxy,-8.104185326615722e-07,1.396964877261948,0.0008820154582720905,0.0,-3.21684732044565e-05,,104919,True
2025-02-24 00:00:00+00:00,2024-02-25 00:00:00+00:00,2025-02-24 00:00:00+00:00,2025-03-26 00:00:00+00:00,OUF,-6.754169142620037e-05,1.0238202346350658,0.0008816997716579189,0.0,,,104919,True
2025-02-24 00:00:00+00:00,2024-02-25 00:00:00+00:00,2025-02-24 00:00:00+00:00,2025-03-26 00:00:00+00:00,MOUF,-6.754169142620037e-05,1.0238202346350658,0.0008816997716579189,2.096308321991944,,,104919,True
2025-03-26 00:00:00+00:00,2024-03-26 00:00:00+00:00,2025-03-26 00:00:00+00:00,2025-04-25 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.652203993709442e-05,104919,True
2025-03-26 00:00:00+00:00,2024-03-26 00:00:00+00:00,2025-03-26 00:00:00+00:00,2025-04-25 00:00:00+00:00,NestedOU_proxy,-1.8336277319049186e-05,1.278478065154288,0.0007902843426207721,0.0,-0.00019272649603211946,,104919,True
2025-03-26 00:00:00+00:00,2024-03-26 00:00:00+00:00,2025-03-26 00:00:00+00:00,2025-04-25 00:00:00+00:00,OUF,-0.00013006922497174148,0.9610830015250628,0.0007899836793325221,0.0,,,104919,True
2025-03-26 00:00:00+00:00,2024-03-26 00:00:00+00:00,2025-03-26 00:00:00+00:00,2025-04-25 00:00:00+00:00,MOUF,-0.00013006922497174148,0.9610830015250628,0.0007899836793325221,2.29616296819022,,,104919,True
2025-04-25 00:00:00+00:00,2024-04-25 00:00:00+00:00,2025-04-25 00:00:00+00:00,2025-05-25 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.476026099394254e-05,105004,True
2025-04-25 00:00:00+00:00,2024-04-25 00:00:00+00:00,2025-04-25 00:00:00+00:00,2025-05-25 00:00:00+00:00,NestedOU_proxy,1.1806062106102064e-05,1.2233110803597478,0.0007603204172089586,0.0,-0.00012085808375412545,,105004,True
2025-04-25 00:00:00+00:00,2024-04-25 00:00:00+00:00,2025-04-25 00:00:00+00:00,2025-05-25 00:00:00+00:00,OUF,-0.00016448174225004703,0.9319361820264088,0.000760040124170006,0.0,,,105004,True
2025-04-25 00:00:00+00:00,2024-04-25 00:00:00+00:00,2025-04-25 00:00:00+00:00,2025-05-25 00:00:00+00:00,MOUF,-0.00016448174225004703,0.9319361820264088,0.000760040124170006,2.3282612558728717,,,105004,True
2025-05-25 00:00:00+00:00,2024-05-25 00:00:00+00:00,2025-05-25 00:00:00+00:00,2025-06-24 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.4503924166125975e-05,105011,True
2025-05-25 00:00:00+00:00,2024-05-25 00:00:00+00:00,2025-05-25 00:00:00+00:00,2025-06-24 00:00:00+00:00,NestedOU_proxy,1.3292271466492447e-05,1.2533775185684144,0.0007559850922854757,0.0,0.00010825329679081741,,105011,True
2025-05-25 00:00:00+00:00,2024-05-25 00:00:00+00:00,2025-05-25 00:00:00+00:00,2025-06-24 00:00:00+00:00,OUF,-0.00013695869492664592,0.9266684447436354,0.0007556976044660228,0.0,,,105011,True
2025-05-25 00:00:00+00:00,2024-05-25 00:00:00+00:00,2025-05-25 00:00:00+00:00,2025-06-24 00:00:00+00:00,MOUF,-0.00013695869492664592,0.9266684447436354,0.0007556976044660228,2.401814439196436,,,105011,True
2025-06-24 00:00:00+00:00,2024-06-24 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-07-24 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.4402793057769865e-05,105017,True
2025-06-24 00:00:00+00:00,2024-06-24 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-07-24 00:00:00+00:00,NestedOU_proxy,3.790797475742566e-05,1.283769167584129,0.0007542875495371336,0.0,0.0001712159117714123,,105017,True
2025-06-24 00:00:00+00:00,2024-06-24 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-07-24 00:00:00+00:00,OUF,-7.69614741448274e-05,0.9457353577911052,0.0007539862482135871,0.0,,,105017,True
2025-06-24 00:00:00+00:00,2024-06-24 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-07-24 00:00:00+00:00,MOUF,-7.69614741448274e-05,0.9457353577911052,0.0007539862482135871,2.352908349062343,,,105017,True
2025-07-24 00:00:00+00:00,2024-07-24 00:00:00+00:00,2025-07-24 00:00:00+00:00,2025-08-23 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.408928909632913e-05,105021,True
2025-07-24 00:00:00+00:00,2024-07-24 00:00:00+00:00,2025-07-24 00:00:00+00:00,2025-08-23 00:00:00+00:00,NestedOU_proxy,5.332271012390176e-06,1.445744788995058,0.0007490670178849917,0.0,0.00025479855327825707,,105021,True
2025-07-24 00:00:00+00:00,2024-07-24 00:00:00+00:00,2025-07-24 00:00:00+00:00,2025-08-23 00:00:00+00:00,OUF,-3.610745952410772e-05,1.0420091393406719,0.0007487232077968719,0.0,,,105021,True
2025-07-24 00:00:00+00:00,2024-07-24 00:00:00+00:00,2025-07-24 00:00:00+00:00,2025-08-23 00:00:00+00:00,MOUF,-3.610745952410772e-05,1.0420091393406719,0.0007487232077968719,2.4692477863573994,,,105021,True
2025-08-23 00:00:00+00:00,2024-08-23 00:00:00+00:00,2025-08-23 00:00:00+00:00,2025-09-22 00:00:00+00:00,RandomWalk,0.0,0.0,0.0,0.0,,4.382432206578321e-05,105024,True
2025-08-23 00:00:00+00:00,2024-08-23 00:00:00+00:00,2025-08-23 00:00:00+00:00,2025-09-22 00:00:00+00:00,NestedOU_proxy,-3.999071930195911e-06,1.452852429568435,0.0007445705534624202,0.0,0.00011159304992745532,,105024,True
2025-08-23 00:00:00+00:00,2024-08-23 00:00:00+00:00,2025-08-23 00:00:00+00:00,2025-09-22 00:00:00+00:00,OUF,-3.650693073524277e-05,1.0465589579554258,0.0007442517800837179,0.0,,,105024,True
