replication,initialization,null_loglik,alternative_loglik,lr,theta_null,kappa_null,sigma_null,theta_alt,kappa_alt,sigma_alt,lambda_alt,alternative_converged,alternative_gradient_norm,ifm_loglik,ifm_theta,ifm_tau,ifm_kappa,ifm_lambda,ifm_converged,ifm_gradient_norm,fit_failed
25,stationary_initial,201699.8840946654,201699.88409466547,1.1641532182693481e-10,-2.4445268860214766e-05,2.7556402323883953,0.0012931461052568302,-2.4445690381950322e-05,2.7556402323883953,0.00129314610525806,0.0,True,0.6822880077032499,201699.34210282174,-7.491412612059182e-05,0.0005437465738137746,2.8280760159872904,1.522997974471263e-08,True,1.7763568501960078e-07,False
26,stationary_initial,201675.34028584708,201675.34028584708,0.0,-4.677596505137308e-05,2.5854580504961624,0.00129403507412448,-4.677596505137308e-05,2.5854580504961624,0.00129403507412448,0.0,True,0.6904905120454471,201675.09157306544,-8.274636407824829e-05,0.0005631408351436172,2.6401988969743533,1.522997974471263e-08,True,1.776356830474485e-07,False
27,stationary_initial,201773.93958246923,201773.93958246926,5.820766091346741e-11,-9.05110227587435e-05,3.0129760287031764,0.0012898954171427712,-9.051125985204657e-05,3.012976028704516,0.001289895417142771,0.0,True,0.6939124889202589,201773.80762044404,-7.448411104361313e-05,0.0005341976544248513,2.915277935301481,1.522997974471263e-08,True,3.5527137003920156e-07,False
28,stationary_initial,201555.60669488384,201555.60669488387,5.820766091346741e-11,-0.00010742553960168387,2.4187822251309665,0.0012998724116820239,-0.00010742567169263437,2.4187822251319093,0.0012998724116820232,0.0,True,0.7351181020634867,201555.3707936484,-9.329880019075278e-05,0.0005727762456446193,2.575189760880494,1.522997974471263e-08,True,0.0,False
29,stationary_initial,201633.56186851484,201633.56186851484,0.0,-0.00012895561498056963,2.7122946024962693,0.0012964839738719783,-0.00012895561498056963,2.7122946024962693,0.0012964839738719783,0.0,True,0.661736447253119,201633.194463321,-8.739447111384429e-05,0.000563882342560071,2.6432635509362545,1.522997974471263e-08,True,1.776356830474485e-07,False
30,stationary_initial,201733.46541353117,201733.4654135312,5.820766091346741e-11,-6.078304070309694e-05,3.186775572941094,0.0012923739036709624,-6.078317026833368e-05,3.186775572941094,0.001292373903671244,0.0,True,0.6469420636861507,201733.3515446498,-5.119394607521963e-05,0.0005212085173392384,3.0741701414033895,1.522997974471263e-08,True,3.5527137003920156e-07,False
31,stationary_initial,201756.59696190027,201756.5969619003,5.820766091346741e-11,-0.00011782352845812382,2.4740602196082997,0.0012895872437857735,-0.00011782352847079666,2.4740602196082997,0.0012895872437857737,0.0,True,0.6937149550967795,201756.45897685882,-8.93058034975789e-05,0.0005832977803108066,2.443970170071833,1.522997974471263e-08,True,0.0,False
32,stationary_initial,201539.9489146325,201539.9489146325,0.0,-1.945154030514755e-05,2.7013027753435255,0.0013013230266491226,-1.945154030514755e-05,2.7013027753435255,0.0013013230266491226,0.0,True,0.5068526981300528,201539.79061062436,-4.559031014279256e-05,0.0005535100699441654,2.7637238163331483,1.522997974471263e-08,True,1.7763568501960078e-07,False
33,stationary_initial,201720.60190780598,201720.60190780598,0.0,-7.484330906427947e-05,2.9639237957423905,0.0012925406589651314,-7.484356937285766e-05,2.9639237957423905,0.0012925406589651314,0.0,True,0.669254524084658,201720.567476799,-6.275310571065418e-05,0.0005297968104566153,2.9760532500921824,1.522997974471263e-08,True,1.7763568501960078e-07,False
34,stationary_initial,201583.11636900922,201583.11636900922,0.0,-0.0001000414751161865,2.4931191469865297,0.0012986099434727475,-0.00010004179964764615,2.4931191469887772,0.0012986099434739186,0.0,True,0.6382643774934882,201582.90246372533,-6.886689382229514e-05,0.0005720743083559533,2.5764983074452275,1.522997974471263e-08,True,0.0,False
