period,model,horizon_minutes,nobs,MAE,RMSE,NLS,CRPS,direction_accuracy,threshold,Brier,event_log_score,AUC
validation_2024,OUF,5,105119,2.8460111217918608e-05,5.23473568780633e-05,-8.463053625549515,2.449431527814156e-05,0.3912137672542547,0.005,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,OUF,5,105119,2.8460111217918608e-05,5.23473568780633e-05,-8.463053625549515,2.449431527814156e-05,0.3912137672542547,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,MOUF,5,105119,2.9203634897619346e-05,5.2559347985260056e-05,-8.559786877029527,2.454480233028125e-05,0.3912137672542547,0.001,0.009045789980799374,0.03323267700091867,0.9975908485053359
validation_2024,MOUF,5,105119,2.9203634897619346e-05,5.2559347985260056e-05,-8.559786877029527,2.454480233028125e-05,0.3912137672542547,0.0025,0.00026097494054194486,0.001743752588213954,0.9749912199790823
validation_2024,MOUF,5,105119,2.9203634897619346e-05,5.2559347985260056e-05,-8.559786877029527,2.454480233028125e-05,0.3912137672542547,0.005,1.0763189576042797e-19,1.5433631469225532e-10,
validation_2024,MOUF,5,105119,2.9203634897619346e-05,5.2559347985260056e-05,-8.559786877029527,2.454480233028125e-05,0.3912137672542547,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,RandomWalk,60,105056,9.078998217321923e-05,0.00014034918801351544,-7.414949953530739,7.46790267462078e-05,0.06633604934511118,0.001,0.025781455723324815,0.09507889275460701,0.9867643918508678
validation_2024,RandomWalk,60,105056,9.078998217321923e-05,0.00014034918801351544,-7.414949953530739,7.46790267462078e-05,0.06633604934511118,0.0025,0.0007047525137560395,0.004057244974249624,0.9880400990234105
validation_2024,RandomWalk,60,105056,9.078998217321923e-05,0.00014034918801351544,-7.414949953530739,7.46790267462078e-05,0.06633604934511118,0.005,1.184219913278338e-24,1.001630828602002e-12,
validation_2024,RandomWalk,60,105056,9.078998217321923e-05,0.00014034918801351544,-7.414949953530739,7.46790267462078e-05,0.06633604934511118,0.01,1e-24,1.0000000000005004e-12,
validation_2024,NestedOU_proxy,60,105056,9.42127206559339e-05,0.00014210879502629878,-7.415934205325101,7.536793055861152e-05,0.49123324703015536,0.001,0.026755873209890826,0.09606673450462017,0.9859226151404732
validation_2024,NestedOU_proxy,60,105056,9.42127206559339e-05,0.00014210879502629878,-7.415934205325101,7.536793055861152e-05,0.49123324703015536,0.0025,0.0005694649625559988,0.0039808305320384275,0.9875373744894236
validation_2024,NestedOU_proxy,60,105056,9.42127206559339e-05,0.00014210879502629878,-7.415934205325101,7.536793055861152e-05,0.49123324703015536,0.005,1e-24,1.0000000000005004e-12,
validation_2024,NestedOU_proxy,60,105056,9.42127206559339e-05,0.00014210879502629878,-7.415934205325101,7.536793055861152e-05,0.49123324703015536,0.01,1e-24,1.0000000000005004e-12,
validation_2024,OUF,60,105056,9.18076970870385e-05,0.00014013261441673437,-7.42377451422038,7.439091186304658e-05,0.4937842674383186,0.001,0.026006248488430004,0.09423920753561647,0.9864188013290212
validation_2024,OUF,60,105056,9.18076970870385e-05,0.00014013261441673437,-7.42377451422038,7.439091186304658e-05,0.4937842674383186,0.0025,0.0005905983869924886,0.003950668225317731,0.9877156547300001
validation_2024,OUF,60,105056,9.18076970870385e-05,0.00014013261441673437,-7.42377451422038,7.439091186304658e-05,0.4937842674383186,0.005,1.0001246556954585e-24,1.0000262187905017e-12,
validation_2024,OUF,60,105056,9.18076970870385e-05,0.00014013261441673437,-7.42377451422038,7.439091186304658e-05,0.4937842674383186,0.01,1e-24,1.0000000000005004e-12,
validation_2024,MOUF,60,105056,0.00010415484670720021,0.0001524875704130131,-7.392373506967695,7.815182408617514e-05,0.4937842674383186,0.001,0.026959598606244046,0.09673046983495308,0.9853228452741332
validation_2024,MOUF,60,105056,0.00010415484670720021,0.0001524875704130131,-7.392373506967695,7.815182408617514e-05,0.4937842674383186,0.0025,0.0005712140122875743,0.003376813163063548,0.9249902299853718
validation_2024,MOUF,60,105056,0.00010415484670720021,0.0001524875704130131,-7.392373506967695,7.815182408617514e-05,0.4937842674383186,0.005,1.481927867133768e-17,1.8038053830551824e-09,
validation_2024,MOUF,60,105056,0.00010415484670720021,0.0001524875704130131,-7.392373506967695,7.815182408617514e-05,0.4937842674383186,0.01,1e-24,1.0000000000005004e-12,
