slice,first_parameter,first_value,second_parameter,second_value,mean_loglik,nobs,nuisance_parameters,relative_mean_loglik
kappa_lambda,kappa,0.0069907939844818644,lambda,0.7289188474864182,7.77260574961816,40000,held_at_MOU-UQML_estimate,-0.5128711235374901
kappa_lambda,kappa,0.0069907939844818644,lambda,0.879243963211196,7.7773669340307094,40000,held_at_MOU-UQML_estimate,-0.5081099391249406
kappa_lambda,kappa,0.0069907939844818644,lambda,1.0605706650461326,7.782112350614925,40000,held_at_MOU-UQML_estimate,-0.5033645225407248
kappa_lambda,kappa,0.0069907939844818644,lambda,1.279292417827172,7.786831150759716,40000,held_at_MOU-UQML_estimate,-0.49864572239593397
kappa_lambda,kappa,0.0069907939844818644,lambda,1.543121212238039,7.791509907558383,40000,held_at_MOU-UQML_estimate,-0.4939669655972674
kappa_lambda,kappa,0.0069907939844818644,lambda,1.861359484724696,7.796132063174509,40000,held_at_MOU-UQML_estimate,-0.4893448099811408
kappa_lambda,kappa,0.0069907939844818644,lambda,2.245228115521578,7.800677253045226,40000,held_at_MOU-UQML_estimate,-0.4847996201104241
kappa_lambda,kappa,0.0069907939844818644,lambda,2.7082620697925917,7.805120479529335,40000,held_at_MOU-UQML_estimate,-0.4803563936263151
kappa_lambda,kappa,0.0069907939844818644,lambda,3.2667876319432994,7.809431101396868,40000,held_at_MOU-UQML_estimate,-0.47604577175878227
kappa_lambda,kappa,0.0069907939844818644,lambda,3.940498060084341,7.81357159676516,40000,held_at_MOU-UQML_estimate,-0.4719052763904896
kappa_lambda,kappa,0.0069907939844818644,lambda,4.753147957858425,7.817496045302949,40000,held_at_MOU-UQML_estimate,-0.4679808278527009
kappa_lambda,kappa,0.0069907939844818644,lambda,5.733390846742393,7.821148260573269,40000,held_at_MOU-UQML_estimate,-0.46432861258238134
kappa_lambda,kappa,0.0069907939844818644,lambda,6.915789471094045,7.824459485033732,40000,held_at_MOU-UQML_estimate,-0.4610173881219177
kappa_lambda,kappa,0.0069907939844818644,lambda,8.34203445866076,7.827345537825425,40000,held_at_MOU-UQML_estimate,-0.45813133533022476
kappa_lambda,kappa,0.008432507171552252,lambda,0.4153254399204202,7.916272602531334,40000,held_at_MOU-UQML_estimate,-0.3692042706243157
kappa_lambda,kappa,0.008432507171552252,lambda,0.500978108986087,7.920609000720705,40000,held_at_MOU-UQML_estimate,-0.364867872434945
kappa_lambda,kappa,0.008432507171552252,lambda,0.604294949356739,7.924927392725917,40000,held_at_MOU-UQML_estimate,-0.3605494804297331
kappa_lambda,kappa,0.008432507171552252,lambda,0.7289188474864182,7.929218922191235,40000,held_at_MOU-UQML_estimate,-0.35625795096441504
kappa_lambda,kappa,0.008432507171552252,lambda,0.879243963211196,7.933472744655823,40000,held_at_MOU-UQML_estimate,-0.35200412849982676
kappa_lambda,kappa,0.008432507171552252,lambda,1.0605706650461326,7.937675592850268,40000,held_at_MOU-UQML_estimate,-0.34780128030538204
kappa_lambda,kappa,0.008432507171552252,lambda,1.279292417827172,7.941811252744778,40000,held_at_MOU-UQML_estimate,-0.3436656204108717
kappa_lambda,kappa,0.008432507171552252,lambda,1.543121212238039,7.945859932328666,40000,held_at_MOU-UQML_estimate,-0.3396169408269838
kappa_lambda,kappa,0.008432507171552252,lambda,1.861359484724696,7.949797501053034,40000,held_at_MOU-UQML_estimate,-0.3356793721026161
kappa_lambda,kappa,0.008432507171552252,lambda,2.245228115521578,7.953594573275337,40000,held_at_MOU-UQML_estimate,-0.3318822998803128
kappa_lambda,kappa,0.008432507171552252,lambda,2.7082620697925917,7.957215403879841,40000,held_at_MOU-UQML_estimate,-0.3282614692758088
kappa_lambda,kappa,0.008432507171552252,lambda,3.2667876319432994,7.96061655823955,40000,held_at_MOU-UQML_estimate,-0.32486031491610046
kappa_lambda,kappa,0.008432507171552252,lambda,3.940498060084341,7.963745311360737,40000,held_at_MOU-UQML_estimate,-0.32173156179491347
kappa_lambda,kappa,0.008432507171552252,lambda,4.753147957858425,7.966537721904383,40000,held_at_MOU-UQML_estimate,-0.31893915125126693
kappa_lambda,kappa,0.008432507171552252,lambda,5.733390846742393,7.968916315445098,40000,held_at_MOU-UQML_estimate,-0.31656055771055236
kappa_lambda,kappa,0.008432507171552252,lambda,6.915789471094045,7.9707872976459635,40000,held_at_MOU-UQML_estimate,-0.31468957550968657
